placename,place_id;id_review,caption,timestamp,rati,rating,username,n_photo_user,url_user
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSUNzeVkzbklREAEaFnJmYW15Qlhicno1Q3psVFZlMUwyd0E,Hay que poner más bancos,Hace un mes,2020-03-23 13:22:32.674502,4.0,Jose Arcas,0,0,https://www.google.com/maps/contrib/107466964366922690297?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSUNzeVphX2h3RRABGhZBYUd5aVlOTnpsellMeDhub0NJTGNB,,Hace un mes,2020-03-23 13:22:32.675499,1.0,Matias Cano Guerrero,0,0,https://www.google.com/maps/contrib/116216445751966006442?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSUNzZ2RhQVBnEAEaFmw5bW1Ccm9kaUVBUUF5Rk1hbXF4NlE,,Hace un mes,2020-03-23 13:22:32.676497,5.0,Elena Garcia,2,0,https://www.google.com/maps/contrib/109011115358427081395?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSUNzdnZ1Rm9RRRABGhZZTnFtTUJBemhnczdiUF9tbFpLZzBB,,Hace un mes,2020-03-23 13:22:32.677494,5.0,Maria Jose Corrales Isaac,0,0,https://www.google.com/maps/contrib/100931793324287474916?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSUNzLXVxSEtREAEaFk9hTFV2MzZYOHp0UVRxTDVEQ1F2NVE,,Hace un mes,2020-03-23 13:22:38.942387,5.0,JUAN JOSE FERNANDEZ BENITEZ,1,0,https://www.google.com/maps/contrib/110468468249955952879?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSUNzbkxUZ3RBRRABGhZYeTVEWm5ZamhjWW84bFhFM3Rsajd3,,Hace un mes,2020-03-23 13:22:38.942387,5.0,Miguel Rodríguez,0,0,https://www.google.com/maps/contrib/115921762853598989824?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSUNzek1EdTVnRRABGhZtWS1xblRJNzBqUnFBaXFRR0UxMlJB,,Hace un mes,2020-03-23 13:22:38.943387,5.0,Jose Manuel,0,0,https://www.google.com/maps/contrib/113656495120976992218?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSUNzcUpxY2lRRRABGhY1THUwNEE4Tk1rSzdQLVFWcnh0RUFB,,Hace 2 meses,2020-03-23 13:22:38.944384,5.0,Jhoandry Rojas,1,0,https://www.google.com/maps/contrib/103141156051301684408?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSURNcjlPY2NREAEaFjNwdHZ0MlhlMnNaMGJNaUdmaWhQMXc,,Hace 2 meses,2020-03-23 13:22:38.945355,5.0,Águeda Arrabal Zamora,0,0,https://www.google.com/maps/contrib/102518322846176164296?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSURNODdqcFhBEAEaFnUzVjJxMmRybkpmUWJaS3lDbWl6Wnc,,Hace 2 meses,2020-03-23 13:22:38.946352,4.0,soledad seller fresno,0,0,https://www.google.com/maps/contrib/115867531240338121705?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSURNNC1MZGpRRRABGhZuZzdJNWhzaXU0R0d2Q24wQTJKMFVR,,Hace 2 meses,2020-03-23 13:22:38.947349,5.0,Rosa Maria Ruiz Moreno,0,0,https://www.google.com/maps/contrib/108340953598429292171?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSURNbFk2ZHFnRRABGhZRcnhKUHFEVjFac0ZMT3RTVHJSUTdR,,Hace 2 meses,2020-03-23 13:22:38.947349,5.0,juan jose sans ramia,0,0,https://www.google.com/maps/contrib/103301366708651484002?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSURNdkwtMzBnRRABGhZZOGxHX3R2OVc5R0FwV2FtNHg1azZ3,,Hace 3 meses,2020-03-23 13:22:38.948347,5.0,Andreea C,1,0,https://www.google.com/maps/contrib/107369246428819571706?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSURNN1BtYUNnEAEaFmNtMGE2VjJyQkp3YW15R2RDekZvNmc,,Hace 3 meses,2020-03-23 13:22:38.949344,5.0,Gabriel de la Calle,0,0,https://www.google.com/maps/contrib/100216705820467849787?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSURNOU5qLU1BEAEaFlpjbmdka3paTzd2WS1DMy1qNEh0ZEE,Un lugar bonito y acogedor.,Hace 3 meses,2020-03-23 13:22:45.246190,4.0,Antonio Roldan,0,0,https://www.google.com/maps/contrib/114309558762190969199?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSURNb04ybmtRRRABGhZOMGNzYlg3UFJ6WW9wV0hndUdtRG9B,Bonitos edificios con encanto que te llevan a la nostalgia de golpe.,Hace 3 meses,2020-03-23 13:22:45.247187,4.0,Isabel Acero,32,0,https://www.google.com/maps/contrib/113931462787478881959?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSUNNLTdmYmFBEAEaFngwVDJtbFBjdHVQSHdRbmR0c1VfRVE,Cuidado,Hace 3 meses,2020-03-23 13:22:45.248186,4.0,Gloria Cedillo,0,0,https://www.google.com/maps/contrib/110756014176948942277?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSUQwblpuMG53RRABGhZxQk5sbjk2blp2N2JxUXJTOF9sUFh3,,Hace 4 meses,2020-03-23 13:22:45.249185,5.0,María del Carmen Fernández Melendez-Valdes,41,0,https://www.google.com/maps/contrib/113198706154407880390?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSUQwOVozWndRRRABGhZJZGFJdVk4aEdfMDlnUU1XaDNlUkh3,,Hace 4 meses,2020-03-23 13:22:45.249185,5.0,Criss V.,0,0,https://www.google.com/maps/contrib/117597492106887356252?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSUQwMmRydzlnRRABGhZyaFg1c0lNOUVUcUVQWWhrS01rOG9n,,Hace 4 meses,2020-03-23 13:22:45.250179,5.0,Macarena Alba,0,0,https://www.google.com/maps/contrib/116249200152963017588?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSUQwNlo3QlpBEAEaFm5XVUFBbTRqaEMzWUR1ZGFpVnRMeHc,,Hace 4 meses,2020-03-23 13:22:45.251177,5.0,Isabel Agulled,5,0,https://www.google.com/maps/contrib/115427129217479383292?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSUQwbm92M1NREAEaFmx4d0VDbWVBTndsSUJ0SlAxd25KcXc,,Hace 4 meses,2020-03-23 13:22:45.252178,4.0,Oscar Retortillo Caceres,0,0,https://www.google.com/maps/contrib/109677800568795859694?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSUQwMnZ1SWFBEAEaFkUzaHY1R1kwU0o5dnlJSTJzX1k1LXc,,Hace 4 meses,2020-03-23 13:22:45.252178,3.0,Ilu Gomezalvarez,10,0,https://www.google.com/maps/contrib/116926492415712185810?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSUQwMnEyR1JREAEaFnBHcnZ2Y0VheDNwT05VeExvbjZSNmc,,Hace 4 meses,2020-03-23 13:22:45.253172,5.0,Tita Esteban,0,0,https://www.google.com/maps/contrib/110093582657819151781?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSUQweXZQYk13EAEaFmEwNHM4SGE2bUNGZjdGb3g5VGMyelE,(Traducido por Google) Buen lugar para tomar fotos.  (Original) Bom sítio para tirar fotos,Hace 4 meses,2020-03-23 13:22:51.607692,5.0,João Gaspar Ferreira,0,0,https://www.google.com/maps/contrib/108269144445908074545?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSUQweXRxZXBBRRABGhZCLUhiVTlPMktib1NaWEhnNy1OR013,,Hace 4 meses,2020-03-23 13:22:51.608691,4.0,André Antunes,0,0,https://www.google.com/maps/contrib/101902372167842122439?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSUQwcXZHek1nEAEaFjBIV0R2M29aRERJODQ3c3FJdjRtZWc,,Hace 4 meses,2020-03-23 13:22:51.609686,5.0,Marcelo Campos,0,0,https://www.google.com/maps/contrib/106672971746298898029?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSUQwZ3N5c3FBRRABGhZCVS1pSnk0cjFSZjNBU2EwLURmcWln,,Hace 4 meses,2020-03-23 13:22:51.610683,5.0,Paco González Torres,0,0,https://www.google.com/maps/contrib/113329250918038727172?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSUQwbk56aWpBRRABGhZFZjF0SmhPYlQ0Z28tWnJxbmd2ZTNB,,Hace 4 meses,2020-03-23 13:22:51.611683,4.0,Ermin Loro,0,0,https://www.google.com/maps/contrib/103805559827563237889?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSUQwN0tlUDJnRRABGhZBWTZ1dU9vdmRMelMwUWdyNFVQNXR3,,Hace 4 meses,2020-03-23 13:22:51.612677,3.0,JesúsDxC PRO,0,0,https://www.google.com/maps/contrib/100688939384731590213?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSUQwN1BPWnpBRRABGhZCeURBN0QzaEpGVU12QUcyel8zS2xn,,Hace 4 meses,2020-03-23 13:22:51.612677,5.0,Juan Bauzá,0,0,https://www.google.com/maps/contrib/106134693870064933274?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;"ChZDSUhNMG9nS0VJQ0FnSUQwOFBtUEZREAEaFktvWXlKTE5HNTJzMGljNUR3Zmd3c1E,""Plaza donde se encuentra la patrona de Badajoz, la Virgen de la Soledad. Es preciosa la virgen y la plaza es estupenda para tapear."",Hace 5 meses,2020-03-23 13:22:51.613675,5.0,Paloma Vicente,0,0,https://www.google.com/maps/contrib/112022346965544049446?hl=es-ES"
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSUQwOEpEdVFnEAEaFllSVkNmcVU0bjRZZWp2ZG51OE1kOHc,,Hace 5 meses,2020-03-23 13:22:51.614673,5.0,Cande García,10,0,https://www.google.com/maps/contrib/102273167388542619769?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSUMwbmZfRzdnRRABGhY4MEJaaEdyeHdJZ0xZSmJMNEpSZ2l3,Hermoso lugar,Hace 5 meses,2020-03-23 13:22:51.615669,5.0,hector di domenico,71,0,https://www.google.com/maps/contrib/103577804189829622463?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSUMwLWRiNm5RRRABGhZ3ZzNNSXJWcFhpQ1pNWGtObXlEUWVR,,Hace 5 meses,2020-03-23 13:22:57.967250,5.0,Jesús Cerezal,0,0,https://www.google.com/maps/contrib/116249004198824485882?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSUMwbVpmdmVBEAEaFmlIS3VvOThXdVBHbUdXd0dFRjdvamc,,Hace 5 meses,2020-03-23 13:22:57.968247,5.0,BALBI TENA,2,0,https://www.google.com/maps/contrib/118410712763674310272?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSUMwNmJHZmJREAEaFm54SW1aRUNDdUUxSDRYNlYzX1R4MlE,Lugar tranquilo y vistoso,Hace 5 meses,2020-03-23 13:22:57.969244,4.0,Eulogio Saavedra,161,0,https://www.google.com/maps/contrib/101122876816694081505?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChZDSUhNMG9nS0VJQ0FnSUMwNFk3VElnEAEaFlhqNVNBOWlXTUZqbEJtZmotelJSdmc,,Hace 5 meses,2020-03-23 13:22:57.970242,5.0,Kennereth Mon,4,0,https://www.google.com/maps/contrib/116179528408353831924?hl=es-ES
Plaza La Soledad Badajoz,ChIJS9k26TbkFg0RfnLPPYfh_fI;ChdDSUhNMG9nS0VJQ0FnSUMwZ2JpeHZRRRABGhY5WnpsdV9Fd2hsazFWWmxUY2MzaWd3,,Hace 5 meses,2020-03-23 13:22:57.971239,5.0,José Manuel Núñez,0,0,https://www.google.com/maps/contrib/118006923304202377686?hl=es-ES
