id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUNzaHZqX2l3RRABGhY0Q2VjTlZ2SG93QV9CbGNFOGZ5bm9B,,Hace un mes,2020-03-23 12:27:07.115663,5.0,gurutze,75,0,https://www.google.com/maps/contrib/114743985157456338154?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzLXIzU29nRRABGhZRN2dKNjBiVEw1M2xCMXRYOTljUHBR,si visitáis la ciudad es obligatorio ir al museo!!,Hace un mes,2020-03-23 12:27:07.116661,5.0,Eva Garcia,3,0,https://www.google.com/maps/contrib/101397073446852045483?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzb3BXclZnEAEaFlM1a1FGcXlKZEJfSnJBc1UwVTJsLUE,,Hace un mes,2020-03-23 12:27:07.117658,3.0,Jose A,51,0,https://www.google.com/maps/contrib/107061681596477861628?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzM01LWjBnRRABGhZNc0J1NnhHRmkyQ2pOY0gxbmtQVENB,,Hace un mes,2020-03-23 12:27:07.118656,5.0,Ricardo Megías Cebrino,1,0,https://www.google.com/maps/contrib/116114679959254472638?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzMU9XSW1RRRABGhY0S19rQXFnV0N5Z0VIVWNOYzQtNFln,,Hace 2 meses,2020-03-23 12:27:07.118656,5.0,KÁRATE-DO CEDISUR CHICLANA,0,0,https://www.google.com/maps/contrib/108500777026739878262?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzc0tueC13RRABGhZTclFFd2hZQzBuS29rclU2M0lmWmpR,,Hace 2 meses,2020-03-23 12:27:07.119653,5.0,Gustavo Solera,1,0,https://www.google.com/maps/contrib/116162876316627172711?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzb01tVk1nEAEaFmJ3LUtuaVpNT1EzRklpY3JzZVB6Q1E,,Hace 2 meses,2020-03-23 12:27:07.120650,5.0,Marina Fernández blanco,9,0,https://www.google.com/maps/contrib/102416798596180115859?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNOTRfYVV3EAEaFllaMXVDVUZKaDNZWFUxckRRaFNUcGc,Empleadas muy formales. Las vestimentas muy coloridas,Hace 2 meses,2020-03-23 12:27:07.121648,3.0,ALIBOME,0,0,https://www.google.com/maps/contrib/117115461359084211827?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNOS02TkJBEAEaFnRvejIyZU1iYl91cDYtaUx5WVdZdmc,,Hace 2 meses,2020-03-23 12:27:07.122645,4.0,Belen Charneco,1,0,https://www.google.com/maps/contrib/113789648025243467222?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNNDlHelZBEAEaFlN3TkpKSmJJN0dFbEpoN1NBQUo4ZkE,,Hace 2 meses,2020-03-23 12:27:07.123642,4.0,Natalia Sevilla,0,0,https://www.google.com/maps/contrib/101001209601329155523?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNaFpXakhnEAEaFjdndzRrUnNsNzd2X3RrUkdUc3hmU3c,,Hace 2 meses,2020-03-23 12:27:13.516173,5.0,Liahe Julitin,0,0,https://www.google.com/maps/contrib/110219252405602496206?hl=es-ES
