id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURza1lDaUV3EAEaFjBnakRfVFgzUlFRUUwxM3BFbDdEbVE,,Hace 2 semanas,2020-03-23 12:39:20.679037,4.0,Gabie Souza,1,0,https://www.google.com/maps/contrib/114355578095807024394?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzNGY2dUlBEAEaFmlNYkFHV28yak9ubmRVY0FxY2k2ZWc,,Hace 2 semanas,2020-03-23 12:39:20.680041,3.0,Antonio Manuel Rodriguez López,0,0,https://www.google.com/maps/contrib/111024895543327896072?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzNFk2RUx3EAEaFmM1N3dvX2UwNEdha1Fkam9BVW1MLVE,,Hace 2 semanas,2020-03-23 12:39:20.682036,1.0,Marisa Rivera,0,0,https://www.google.com/maps/contrib/117571720295859621920?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzdnJEdGJ3EAEaFktTTHY5a1ZNeW83RGRZSnhXZENwT3c,(Traducido por Google) Lanaturaleza.esmuibonit  (Original) Lanaturaleza.esmuibonit,Hace 2 semanas,2020-03-23 12:39:20.683026,5.0,Juani Carril Perez,5,0,https://www.google.com/maps/contrib/111283912269123161100?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzM3ZHajZ3RRABGhYyLUtOekdMSUtTdmZDVERLeUtEVVV3,,Hace 2 semanas,2020-03-23 12:39:20.684023,5.0,raquel garcia,1,0,https://www.google.com/maps/contrib/115107882691308442530?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzcnJ1czh3RRABGhZkeVB6UGsxT3BsTC1pb3VNdDFkUURR,,Hace 2 semanas,2020-03-23 12:39:20.684023,4.0,Pabers times,0,0,https://www.google.com/maps/contrib/100361257789774117358?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzenVYLWtBRRABGhZqTDNYSF9CUTEySWNBWmxjV2hrTE1B,,Hace 2 semanas,2020-03-23 12:39:20.685021,3.0,David Galindez Apricoli,0,0,https://www.google.com/maps/contrib/116759055605747699919?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzdHNDMFR3EAEaFmpkM3d5clF0UGxuellZRkNYVDh4bGc,,Hace 2 semanas,2020-03-23 12:39:20.686028,4.0,lisbetzy Gonzalez,0,0,https://www.google.com/maps/contrib/116284951009862636360?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzbHVYM1Z3EAEaFnlzUnFhQUhnVHF1MWlKR0hRRFUwTXc,,Hace 2 semanas,2020-03-23 12:39:20.687015,5.0,Daniel regalo abrazos,5,0,https://www.google.com/maps/contrib/116765908900675407013?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzNXQzS19nRRABGhY5ZWZFekVLR2huMVpwODNTVWg2ZW9B,Buen sitio para dar una vuelta y tiene un parque para que pueda jugar los más pequeños,Hace 2 semanas,2020-03-23 12:39:27.030293,4.0,Carmen García,0,0,https://www.google.com/maps/contrib/106383351902651003807?hl=es-ES
