placename,place_id;id_review,caption,timestamp,rati,rating,username,n_photo_user,url_user
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChdDSUhNMG9nS0VJQ0FnSURNNzhLMnB3RRABGhZ2SER4SHRWS2tCVjJuWGRyeEczeTFn,,Hace 2 meses,2020-03-23 12:34:01.132720,4.0,Javier Pulido Velazquez,2,0,https://www.google.com/maps/contrib/109595472198016710358?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSURNaS1ucWRnEAEaFmhoNXhjNUF0Sk5YNFhGeUNaODJ3dnc,Guapisimo,Hace 2 meses,2020-03-23 12:34:01.132720,5.0,Javier Rubio Caldera,2,0,https://www.google.com/maps/contrib/108555946246922601547?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChdDSUhNMG9nS0VJQ0FnSURNbmYtVHh3RRABGhZTa2pKUjJzR2FwaGNZc21KVTJyZXVn,,Hace 2 meses,2020-03-23 12:34:01.133717,3.0,L CS,0,0,https://www.google.com/maps/contrib/101262846381581995060?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChdDSUhNMG9nS0VJQ0FnSURNalo2OGhBRRABGhZpdVF2azZ1enVKX1A4VVpBMFdJWWNB,,Hace 2 meses,2020-03-23 12:34:01.134715,4.0,Francisco Javier Lozano Tinoco,12,0,https://www.google.com/maps/contrib/118386517075889292151?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSURNMmVfR0JBEAEaFnBrNTNPM1pwRGJtQ2FFS185cVlXT1E,Viva España,Hace 2 meses,2020-03-23 12:34:01.135711,5.0,Manolo,49,0,https://www.google.com/maps/contrib/104796639964535652885?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSURNb2V5M2RREAEaFmNza1BfSFhEUzRFZElsMlFtQ3dudUE,,Hace 2 meses,2020-03-23 12:34:01.136709,5.0,AJ bloggers,0,0,https://www.google.com/maps/contrib/108555024719933840154?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSURNNW83REdnEAEaFjQwSGxYQlRYbHdta0NNQ3RDSlkzZVE,,Hace 2 meses,2020-03-23 12:34:07.401937,4.0,Diego Bote,0,0,https://www.google.com/maps/contrib/114881974920564774857?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSURNNW9xVklnEAEaFjlxZU80U29VaTVVR0I3dmZTdHV4Y2c,,Hace 2 meses,2020-03-23 12:34:07.402935,2.0,esther larios serrano,0,0,https://www.google.com/maps/contrib/103798199632424768181?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChdDSUhNMG9nS0VJQ0FnSURNLXZLLTZ3RRABGhZlUmlJVXBiNF9MS1NEQS0yZjNvMzFR,,Hace 2 meses,2020-03-23 12:34:07.403932,3.0,Laura 7,0,0,https://www.google.com/maps/contrib/114210092575588864506?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSURNNHN2Qk1REAEaFm9pM1lJMVNuMVczcWE1WW5qTFZEdnc,,Hace 2 meses,2020-03-23 12:34:07.404929,2.0,K B,0,0,https://www.google.com/maps/contrib/117281878015457142390?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSURNM08yakF3EAEaFkhobzQ0a1FCeDRyelNLNTBIZ3JDMFE,,Hace 3 meses,2020-03-23 12:34:07.405926,5.0,Susana Fernández,0,0,https://www.google.com/maps/contrib/106674411184549475335?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;"ChdDSUhNMG9nS0VJQ0FnSURNZ1BhTzRnRRABGhZyTzJYSEdFUlhkUTB2Rkh4NXJlajBB,""Me parece estupendo que se le dé reconocimiento a una """" persona """" que sin ser ni extremeño ni pacense, diera su vida por defender Badajoz..😘"",Hace 3 meses,2020-03-23 12:34:07.406924,5.0,Isabel Jaen,29,0,https://www.google.com/maps/contrib/100044364327413775463?hl=es-ES"
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSUNNcDZHTU1nEAEaFjQ4aXpudGZWQ0lfeXBNazlycmJ4Wnc,Un tanto sucio. Los carteles explicando el lugar son interesantes.,Hace 3 meses,2020-03-23 12:34:07.406924,4.0,Andrés Trujillo Pulido,0,0,https://www.google.com/maps/contrib/110083099251169623353?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChdDSUhNMG9nS0VJQ0FnSUNNLTVtSDFnRRABGhZPLWF0QmVUMXE5dzVsT2dFQnNpV193,,Hace 3 meses,2020-03-23 12:34:07.407921,4.0,Jose Luis Torvisco Mendez,0,0,https://www.google.com/maps/contrib/115486397122115537874?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSUNNNjRyM0hnEAEaFkN4RDVSTVlTLVNHLU9mb2lMSkR2Tmc,,Hace 3 meses,2020-03-23 12:34:07.408919,4.0,Agustin J.R.,0,0,https://www.google.com/maps/contrib/103075722390068765737?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChdDSUhNMG9nS0VJQ0FnSUNNMDRUZ2x3RRABGhZiYWpDMG9wbVJTNEpSOGRlY1RyQUt3,,Hace 3 meses,2020-03-23 12:34:07.409916,5.0,Montyfran,0,0,https://www.google.com/maps/contrib/100553995015960130564?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSUNNcmJLV01REAEaFnpvcWszbWVZcmFWV1phWUdWRDRIalE,,Hace 3 meses,2020-03-23 12:34:13.739440,5.0,Emilio Sánchez Majan,42,0,https://www.google.com/maps/contrib/104775491530066525776?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChdDSUhNMG9nS0VJQ0FnSUQwclpMeW1nRRABGhY1Um9qWV9DYmd1TjZycllabVBXbUln,,Hace 4 meses,2020-03-23 12:34:13.740437,5.0,Raimundo Pardo Pilo,0,0,https://www.google.com/maps/contrib/102522602367270726753?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChdDSUhNMG9nS0VJQ0FnSUQwdWN2MjF3RRABGhYtZ2JOaUpOV1NTN1ZHZkpFTGFDS3V3,,Hace 4 meses,2020-03-23 12:34:13.741435,3.0,lale dj lalepz,8,0,https://www.google.com/maps/contrib/114570826301833075047?hl=es-ES
